_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
260916,4.0,4.0,20.0,,4.0,4.0,11/19/2020,4.0,4.0,3.0,3.0,,4.0,4.0,4.0,4.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154079.0,78.0,4.0,327  CHISHOLM AVE ,4.0,4.0,19,4.0,1962.0,2018.0
260917,5.0,4.0,30.0,,5.0,4.0,12/04/2019,5.0,4.0,4.0,5.0,,5.0,4.0,4.0,4.0,5.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154087.0,91.0,5.0,125  COSBURN AVE ,5.0,,14,5.0,1960.0,2017.0
260918,3.0,6.0,83.0,4.0,3.0,4.0,12/04/2019,2.0,3.0,3.0,4.0,,4.0,4.0,3.0,4.0,3.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154090.0,68.0,5.0,165  COSBURN AVE ,3.0,4.0,14,3.0,1950.0,2017.0
260919,5.0,4.0,33.0,,3.0,4.0,11/25/2020,4.0,3.0,4.0,3.0,,5.0,3.0,3.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154097.0,72.0,5.0,210  COSBURN AVE ,3.0,3.0,14,4.0,1968.0,2017.0
260920,4.0,12.0,153.0,4.0,4.0,4.0,12/05/2019,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154101.0,77.0,5.0,150  COSBURN AVE ,3.0,,14,4.0,1962.0,2017.0
260921,,3.0,17.0,,4.0,4.0,12/17/2020,4.0,4.0,4.0,4.0,,5.0,5.0,3.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154104.0,84.0,4.0,257  TORRENS AVE ,4.0,5.0,14,5.0,1950.0,2017.0
260922,,3.0,11.0,,4.0,4.0,10/21/2020,4.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154586.0,74.0,4.0,17  ROSSEAU RD ,3.0,4.0,6,3.0,1953.0,2017.0
260923,,3.0,11.0,,3.0,4.0,11/03/2020,4.0,4.0,3.0,4.0,,5.0,3.0,3.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154590.0,70.0,3.0,25  ROSSEAU RD ,4.0,3.0,6,3.0,1954.0,
260924,3.0,3.0,13.0,,3.0,3.0,12/08/2020,3.0,3.0,3.0,4.0,,5.0,3.0,4.0,3.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154606.0,70.0,4.0,4234  BATHURST ST ,3.0,,6,4.0,1950.0,2017.0
260925,5.0,3.0,12.0,,5.0,4.0,10/27/2020,4.0,5.0,5.0,4.0,,5.0,5.0,4.0,4.0,5.0,16,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154615.0,91.0,5.0,229  PANNAHILL RD ,4.0,,6,4.0,1950.0,2017.0
260926,4.0,12.0,133.0,3.0,4.0,4.0,11/03/2020,4.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,19,3.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154622.0,77.0,5.0,5950  BATHURST ST ,3.0,,6,4.0,1964.0,2017.0
260927,,4.0,32.0,,4.0,4.0,11/05/2020,3.0,4.0,4.0,5.0,,5.0,4.0,4.0,4.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 3 years,4154976.0,83.0,5.0,195  VAUGHAN RD ,4.0,4.0,12,4.0,1920.0,2017.0
260928,,5.0,79.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154986.0,79.0,,236  VAUGHAN RD ,,,12,,1952.0,2017.0
260929,,4.0,24.0,,4.0,3.0,11/06/2020,4.0,5.0,4.0,4.0,,5.0,3.0,4.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154987.0,80.0,4.0,229  VAUGHAN RD ,4.0,,12,4.0,1938.0,2017.0
260930,3.0,3.0,25.0,,4.0,4.0,11/27/2019,4.0,4.0,5.0,4.0,,5.0,5.0,4.0,3.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154997.0,79.0,4.0,1650  BATHURST ST ,3.0,3.0,12,5.0,1930.0,2017.0
260931,,4.0,34.0,4.0,4.0,4.0,11/10/2020,3.0,3.0,3.0,2.0,,5.0,3.0,4.0,4.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155006.0,75.0,5.0,1065  EGLINTON AVE W,4.0,,12,4.0,1955.0,2017.0
260932,,3.0,21.0,,3.0,3.0,03/04/2019,3.0,3.0,2.0,3.0,,5.0,2.0,3.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155504.0,60.0,3.0,2507  LAKE SHORE BLVD W,3.0,3.0,3,3.0,1955.0,2017.0
260933,3.0,8.0,111.0,4.0,2.0,4.0,10/31/2019,3.0,4.0,4.0,3.0,,5.0,4.0,4.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155511.0,71.0,4.0,2663  LAKE SHORE BLVD W,4.0,,3,3.0,1953.0,2017.0
260934,,3.0,12.0,,4.0,4.0,10/30/2019,3.0,4.0,5.0,3.0,,5.0,2.0,3.0,3.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155520.0,73.0,4.0,122  FIFTH ST ,4.0,,3,4.0,1958.0,
260935,,7.0,55.0,3.0,4.0,4.0,10/30/2019,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,18,4.0,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155530.0,76.0,5.0,3078  LAKE SHORE BLVD W,3.0,,3,5.0,1992.0,2017.0
260936,5.0,11.0,158.0,3.0,3.0,4.0,11/25/2019,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,19,5.0,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4155915.0,84.0,5.0,2015  LAWRENCE AVE E,3.0,,21,5.0,1994.0,2017.0
260937,4.0,25.0,245.0,3.0,3.0,4.0,11/09/2020,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155920.0,65.0,5.0,1775  WESTON RD ,2.0,4.0,5,4.0,1967.0,2017.0
260938,2.0,17.0,202.0,5.0,4.0,4.0,11/02/2020,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156071.0,79.0,5.0,6040  BATHURST ST ,4.0,4.0,6,4.0,1970.0,2017.0
260939,,3.0,14.0,,,,,,,,,,,,,,,0,,,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4156073.0,81.0,,17  DURNFORD RD ,,,25,,1992.0,2018.0
260940,,6.0,48.0,,,,,,,,,,,,,,,0,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156469.0,66.0,,3379  LAWRENCE AVE E,,,24,,1992.0,2018.0
260941,,3.0,40.0,,4.0,3.0,12/10/2020,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,4.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4774556.0,76.0,4.0,55  MUTUAL ST ,3.0,,13,4.0,1989.0,2020.0
260942,,0.0,0.0,,,,,,,,,,,,,,,0,,,PRIVATE,,4888799.0,,,1008  O'CONNOR DR ,,,19,,,
260943,,0.0,0.0,,,,,,,,,,,,,,,0,,,PRIVATE,,4897867.0,,,99  GERRARD ST W,,,11,,,
260944,,3.0,16.0,,2.0,3.0,11/06/2020,2.0,3.0,5.0,4.0,,4.0,3.0,3.0,3.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4288175.0,66.0,4.0,2861-2863  DUNDAS ST W,3.0,,4,4.0,1960.0,2018.0
260945,5.0,8.0,74.0,4.0,4.0,4.0,11/27/2019,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,19,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4245676.0,84.0,4.0,321  CHAPLIN CRES ,4.0,4.0,12,4.0,1967.0,2017.0
260946,,3.0,12.0,,4.0,3.0,11/24/2020,4.0,4.0,4.0,2.0,,5.0,4.0,4.0,4.0,3.0,16,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4245705.0,75.0,5.0,359  KIPLING AVE ,4.0,4.0,3,4.0,1967.0,2017.0
260947,,4.0,15.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 2 years,4317590.0,79.0,,3017  QUEEN ST E,,,20,,1954.0,2018.0
260948,,4.0,15.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 2 years,4317592.0,76.0,,3017 B  QUEEN ST E,,,20,,1954.0,2018.0
260949,4.0,32.0,565.0,4.0,3.0,4.0,12/10/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4240827.0,80.0,5.0,260  WELLESLEY ST E,4.0,,13,3.0,1968.0,2017.0
260950,5.0,4.0,27.0,,4.0,4.0,12/04/2020,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,4.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4296586.0,84.0,5.0,699  EGLINTON AVE W,3.0,4.0,12,5.0,1950.0,2018.0
260951,5.0,23.0,318.0,4.0,5.0,5.0,11/03/2020,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,19,5.0,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4233149.0,93.0,5.0,25  MARTHA EATON WAY ,3.0,,5,5.0,1980.0,2017.0
260952,,3.0,20.0,,4.0,3.0,12/05/2019,3.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,3.0,15,5.0,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4274443.0,75.0,4.0,1845  GERRARD ST E,3.0,,19,3.0,1950.0,2017.0
260953,5.0,43.0,369.0,5.0,5.0,5.0,03/13/2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19,5.0,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4333386.0,99.0,5.0,561  SHERBOURNE ST ,4.0,,13,5.0,2018.0,2019.0
260954,,3.0,20.0,,5.0,5.0,11/24/2020,4.0,4.0,3.0,3.0,,5.0,4.0,4.0,3.0,5.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4283460.0,81.0,5.0,4  ANGLESEY BLVD ,4.0,4.0,2,4.0,1950.0,2018.0
260955,4.0,14.0,215.0,3.0,4.0,3.0,11/16/2020,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,18,,3.0,TCHC,Evaluation needs to be conducted in 2 years,4285956.0,68.0,5.0,121  HUMBER BLVD ,3.0,,5,4.0,1968.0,2017.0
260956,5.0,7.0,83.0,5.0,4.0,5.0,10/29/2019,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,19,,5.0,TCHC,Evaluation needs to be conducted in 3 years,4286235.0,91.0,5.0,8  BROADWAY AVE ,5.0,3.0,15,5.0,1993.0,2017.0
260957,,3.0,20.0,,4.0,4.0,12/02/2020,4.0,4.0,4.0,3.0,,5.0,3.0,3.0,3.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4266442.0,76.0,4.0,125  KENILWORTH AVE ,4.0,,19,4.0,1927.0,2017.0
260958,,3.0,41.0,,4.0,4.0,10/30/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4252925.0,81.0,5.0,90  TWENTY FIFTH ST ,3.0,,3,4.0,1970.0,2017.0
260959,,3.0,39.0,,,,,,,,,,,,,,,0,,,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4250261.0,64.0,,1245  KING ST W,,,4,,1987.0,2017.0
260960,5.0,9.0,153.0,5.0,4.0,5.0,11/26/2019,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,19,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4156533.0,87.0,4.0,75  SILVER SPRINGS BLVD ,4.0,3.0,22,5.0,1978.0,2017.0
260961,5.0,13.0,123.0,5.0,4.0,5.0,11/26/2019,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152773.0,87.0,5.0,3201  LAWRENCE AVE E,4.0,,21,5.0,1960.0,2017.0
260962,,11.0,330.0,,,,,,,,,,,,,,,0,,,TCHC,Evaluation needs to be conducted in 2 years,4152777.0,69.0,,17  BRIMLEY RD ,,,20,,1979.0,2017.0
260963,4.0,17.0,193.0,4.0,4.0,4.0,12/15/2020,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,19,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152798.0,80.0,5.0,15  COUGAR CRT ,4.0,,24,4.0,1965.0,2017.0
260964,4.0,12.0,130.0,4.0,4.0,4.0,11/26/2019,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153208.0,75.0,5.0,145  ST GEORGE ST ,4.0,4.0,11,5.0,1960.0,2017.0
260965,4.0,8.0,44.0,4.0,4.0,4.0,11/10/2020,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153212.0,82.0,5.0,85  LOWTHER AVE ,4.0,4.0,11,4.0,1955.0,2017.0
260966,,3.0,18.0,,3.0,4.0,12/10/2020,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,,13,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153662.0,68.0,3.0,2263  QUEEN ST E,3.0,,19,4.0,1975.0,2017.0
260967,,3.0,17.0,,4.0,4.0,11/20/2020,3.0,4.0,3.0,3.0,,4.0,3.0,4.0,4.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153664.0,70.0,3.0,2269  QUEEN ST E,4.0,,19,3.0,1927.0,2017.0
260968,,3.0,27.0,,4.0,3.0,11/20/2020,3.0,3.0,4.0,3.0,,4.0,4.0,3.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153666.0,70.0,4.0,2373  QUEEN ST E,3.0,4.0,19,3.0,1930.0,2017.0
260969,4.0,4.0,44.0,,4.0,3.0,12/05/2019,4.0,4.0,3.0,3.0,,5.0,4.0,4.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153677.0,74.0,5.0,158  KINGSTON RD ,4.0,3.0,19,4.0,1960.0,2017.0
260970,4.0,3.0,11.0,,3.0,3.0,11/26/2020,4.0,3.0,4.0,4.0,,4.0,4.0,3.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153692.0,71.0,3.0,419  WOODBINE AVE ,3.0,,19,4.0,1960.0,2017.0
260971,4.0,5.0,36.0,3.0,4.0,4.0,11/26/2020,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153697.0,77.0,3.0,592  WOODBINE AVE ,3.0,4.0,19,4.0,1966.0,2020.0
260972,5.0,3.0,13.0,,5.0,5.0,12/17/2020,5.0,3.0,4.0,5.0,,5.0,3.0,3.0,5.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154188.0,86.0,5.0,18  KENRAE RD ,5.0,3.0,15,5.0,1956.0,2018.0
260973,,3.0,12.0,,5.0,4.0,12/14/2018,5.0,4.0,4.0,4.0,,5.0,4.0,5.0,4.0,4.0,16,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154196.0,88.0,5.0,27  BRENTCLIFFE RD ,5.0,2.0,15,5.0,1960.0,2017.0
260974,,3.0,24.0,,4.0,4.0,12/03/2020,4.0,4.0,4.0,3.0,,5.0,3.0,2.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154198.0,73.0,3.0,958  EGLINTON AVE E,3.0,,15,4.0,1945.0,2017.0
260975,3.0,3.0,10.0,,3.0,3.0,10/26/2020,3.0,3.0,3.0,3.0,,4.0,3.0,3.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154212.0,63.0,3.0,1740  WILSON AVE ,3.0,,7,4.0,1953.0,2018.0
260976,5.0,13.0,115.0,4.0,4.0,4.0,11/20/2019,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154224.0,80.0,5.0,2600  JANE ST ,4.0,,7,4.0,1960.0,2017.0
260977,5.0,15.0,204.0,5.0,5.0,5.0,10/29/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154226.0,91.0,5.0,2020  SHEPPARD AVE W,5.0,,7,5.0,1967.0,2017.0
260978,3.0,4.0,23.0,,4.0,4.0,02/22/2019,3.0,3.0,2.0,3.0,,5.0,4.0,3.0,2.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155083.0,64.0,3.0,7  NASHVILLE AVE ,3.0,3.0,5,3.0,1965.0,2017.0
260979,,3.0,10.0,,3.0,3.0,01/30/2019,2.0,3.0,4.0,3.0,,5.0,3.0,4.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155103.0,63.0,2.0,98  TRETHEWEY DR ,3.0,3.0,5,3.0,1950.0,2017.0
260980,4.0,15.0,188.0,3.0,3.0,3.0,10/19/2020,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,19,,4.0,TCHC,Evaluation needs to be conducted in 2 years,4155617.0,72.0,3.0,2999  JANE ST ,3.0,3.0,7,4.0,1971.0,2017.0
260981,5.0,12.0,164.0,3.0,3.0,3.0,10/19/2020,4.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,18,,2.0,TCHC,Evaluation needs to be conducted in 1 year,4155620.0,64.0,3.0,4400  JANE ST ,2.0,,7,4.0,1970.0,2017.0
260982,5.0,6.0,76.0,3.0,4.0,3.0,10/22/2020,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,19,5.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4155621.0,77.0,5.0,1570  JANE ST ,3.0,,5,4.0,1967.0,2017.0
260983,4.0,24.0,196.0,5.0,4.0,5.0,11/26/2019,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,20,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153230.0,84.0,5.0,50  HILLSBORO AVE ,4.0,3.0,11,5.0,1965.0,2017.0
260984,2.0,11.0,80.0,3.0,4.0,3.0,11/26/2019,3.0,4.0,3.0,5.0,,5.0,3.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153234.0,73.0,4.0,88  BERNARD AVE ,4.0,3.0,11,4.0,1966.0,2017.0
260985,4.0,15.0,85.0,4.0,5.0,5.0,11/05/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,19,,2.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153236.0,84.0,5.0,280  ST GEORGE ST ,4.0,5.0,11,4.0,1967.0,2017.0
260986,4.0,3.0,36.0,,3.0,3.0,12/19/2017,4.0,4.0,3.0,3.0,,5.0,3.0,3.0,4.0,4.0,16,,1.0,TCHC,Evaluation needs to be conducted in 2 years,4153707.0,68.0,4.0,320  KINGSTON RD ,3.0,,19,3.0,1954.0,2017.0
260987,4.0,14.0,109.0,5.0,4.0,5.0,11/19/2019,4.0,5.0,5.0,4.0,,5.0,4.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154237.0,87.0,5.0,50  DRIFTWOOD AVE ,4.0,3.0,7,5.0,1970.0,2017.0
260988,4.0,11.0,121.0,4.0,3.0,3.0,11/06/2020,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154247.0,69.0,3.0,2397  FINCH AVE W,3.0,,7,4.0,1970.0,2017.0
260989,4.0,7.0,90.0,3.0,4.0,4.0,11/19/2019,3.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154249.0,73.0,5.0,10  JAYZEL DR ,4.0,,7,3.0,1966.0,2017.0
260990,,7.0,114.0,4.0,4.0,4.0,11/20/2019,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154250.0,74.0,5.0,137  LINDYLOU RD ,3.0,,7,3.0,1962.0,2017.0
260991,4.0,34.0,428.0,4.0,5.0,4.0,10/22/2020,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,19,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154262.0,93.0,5.0,10  SAN ROMANOWAY  ,5.0,,7,5.0,1977.0,2017.0
260992,,3.0,28.0,,5.0,5.0,01/23/2019,4.0,4.0,5.0,4.0,,5.0,4.0,5.0,4.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 3 years,4155116.0,88.0,5.0,7  GREENTREE CRT ,4.0,4.0,5,4.0,1953.0,2017.0
260993,,3.0,10.0,,4.0,3.0,11/16/2020,3.0,4.0,4.0,4.0,,5.0,3.0,4.0,3.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155125.0,74.0,4.0,1321  WESTON RD ,4.0,,5,4.0,1960.0,2017.0
260994,,4.0,40.0,3.0,4.0,4.0,11/16/2020,4.0,4.0,4.0,3.0,,5.0,3.0,3.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155128.0,73.0,4.0,12  BUTTONWOOD AVE ,4.0,4.0,5,4.0,1977.0,2017.0
260995,,3.0,11.0,,3.0,3.0,10/20/2020,3.0,3.0,2.0,3.0,,5.0,3.0,3.0,3.0,2.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155145.0,63.0,4.0,137  WOODWARD AVE ,3.0,,5,4.0,1954.0,
260996,,4.0,30.0,,4.0,3.0,12/09/2020,3.0,4.0,4.0,4.0,,3.0,4.0,3.0,4.0,4.0,15,,5.0,TCHC,Evaluation needs to be conducted in 2 years,4155632.0,73.0,3.0,7  FLEMINGTON RD ,3.0,,8,4.0,1957.0,2017.0
260997,,4.0,30.0,,4.0,3.0,12/16/2020,4.0,3.0,3.0,3.0,,5.0,4.0,4.0,4.0,,14,,3.0,TCHC,Evaluation needs to be conducted in 2 years,4155633.0,71.0,3.0,6  REPLIN RD ,3.0,,8,4.0,1957.0,2017.0
260998,,3.0,31.0,,4.0,3.0,12/09/2020,3.0,4.0,4.0,4.0,,4.0,4.0,3.0,3.0,4.0,15,,4.0,TCHC,Evaluation needs to be conducted in 2 years,4155637.0,73.0,4.0,3  FLEMINGTON RD ,3.0,,8,4.0,1957.0,2017.0
260999,,3.0,31.0,,,,,,,,,,,,,,,0,,,TCHC,Evaluation needs to be conducted in 2 years,4155639.0,66.0,,22  VARNA DR ,,,8,,1957.0,2017.0
261000,,3.0,31.0,,,,,,,,,,,,,,,0,,,TCHC,Evaluation needs to be conducted in 2 years,4155640.0,71.0,,20  VARNA DR ,,,8,,1957.0,2017.0
261001,5.0,17.0,214.0,4.0,4.0,4.0,12/07/2020,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,20,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152802.0,80.0,5.0,3434  EGLINTON AVE E,3.0,4.0,24,4.0,1975.0,2017.0
261002,4.0,16.0,221.0,4.0,4.0,4.0,11/30/2020,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,19,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152803.0,75.0,4.0,3400  EGLINTON AVE E,3.0,,24,4.0,1965.0,2017.0
261003,4.0,12.0,159.0,4.0,4.0,4.0,11/19/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,19,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152810.0,81.0,4.0,421  MARKHAM RD ,4.0,,24,4.0,1969.0,2017.0
261004,5.0,11.0,105.0,5.0,5.0,4.0,12/16/2020,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152823.0,88.0,5.0,3700  LAWRENCE AVE E,4.0,5.0,24,4.0,1972.0,2017.0
261005,,4.0,36.0,4.0,4.0,4.0,11/27/2019,3.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,5.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153734.0,74.0,4.0,10  LAMPORT AVE ,4.0,,11,3.0,1969.0,2017.0
261006,4.0,4.0,34.0,,5.0,5.0,11/27/2019,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153739.0,86.0,4.0,4  SHERBOURNE ST N,5.0,,11,4.0,1950.0,2017.0
261007,3.0,10.0,109.0,5.0,3.0,5.0,12/07/2020,3.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153755.0,81.0,3.0,345  MERTON ST ,5.0,3.0,15,4.0,1965.0,2017.0
261008,4.0,17.0,356.0,4.0,4.0,3.0,11/19/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154267.0,78.0,5.0,4001  STEELES AVE W,3.0,,7,4.0,1973.0,2017.0
261009,3.0,9.0,97.0,3.0,4.0,3.0,11/19/2019,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154270.0,76.0,5.0,4800  JANE ST ,3.0,,7,4.0,1973.0,2017.0
